Période,Trimestre,Nom du bénéficiaire,Ville,Province,Pays,Titre,Langue,Genre,Date,Valeur finale,Valeur originale,Type,Objectif, 
2018-2019,P4,Distribution H264,Montréal,Québec,Canada,Fauve et Marguerite,Français,Drame,2019-01-31,20000.00,20000.00,Contribution,Programme de mise en marché à l'international,
2018-2019,P4,Pope Productions Ltd.,St. John's,Terre-Neuve/Labrador,Canada,East of West,Anglais,Drame,2019-02-05,0.00,15000.00,Avance,Programme d'aide au développement,Contrat amendé signé le 28-JUN-16
2018-2019,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montréal,Québec,Canada,"HOCHELAGA, TERRE DES ÂMES",Français,Drame historique,2019-02-07,92565.00,100000.00,Contribution,Programme de mise en marché à l'international,Contrat amendé signé le 17-NOV-17
2018-2019,P4,Brother Productions Inc.,North Vancouver,Colombie-Britannique,Canada,Brother (The),Anglais,Drame,2019-02-11,558000.00,620000.00,Investissement,Programme d'aide à la production,Contrat amendé signé le 27-MAR-13
2018-2019,P4,January Films Ltd.,Toronto,Ontario,Canada,000122634 - Inconceivable,Anglais,Comédie,2019-02-12,35154.00,34900.00,Avance,Programme d'aide au développement,Contrat amendé signé le 07-MAR-13
2018-2019,P4,Buck Productions Inc.,Toronto,Ontario,Canada,CTRL,Anglais,Science-fiction/Film fantastique/Conte,2019-02-12,3980.00,15000.00,Avance,Programme d'aide au développement,Contrat amendé signé le 10-NOV-16
2018-2019,P4,Productions Dixie Inc. (les),Montréal,Québec,Canada,Out Late,Anglais,Comédie,2019-02-14,64233.00,1500000.00,Avance,Programme d'aide à la production,Contrat amendé signé le 29-MAR-17
2018-2019,P4,Films Séville Inc. (Les) / Seville Pictures Inc.,Montréal,Québec,Canada,Juste la fin du monde,Français,Drame,2019-02-18,90000.00,100000.00,Contribution,Programme de mise en marché à l'international,Contrat amendé signé le 19-JAN-17
2018-2019,P4,Attraction Distribution Internationale Inc. / Attraction International Distribution Inc.,Montréal,Québec,Canada,Nitro Rush,Français,Action/Aventure,2019-02-18,2626.00,3400.00,Contribution,Programme de mise en marché à l'international,Contrat amendé signé le 01-JUN-16
2018-2019,P4,Infinity Features Development Inc.,Vancouver,Colombie-Britannique,Canada,SLATE - Infinity Features Development Inc.,Anglais,0,2019-02-18,200000.00,250000.00,Avance,Programme d'aide au développement,Contrat amendé signé le 07-MAR-08
2018-2019,P4,9269-0791 Québec Inc.,Montréal,Québec,Canada,Montréal la blanche,Français,Drame,2019-02-19,1546.00,2700.00,Contribution,Programme de mise en marché à l'international,Contrat amendé signé le 12-FEB-16
2018-2019,P4,Keystone Pictures Inc.,Vancouver,Colombie-Britannique,Canada,SLATE - Keystone Pictures Inc.,Anglais,0,2019-02-19,146400.00,183000.00,Avance,Programme d'aide au développement,Contrat amendé signé le 17-FEB-09
2018-2019,P4,Parnassus Productions Inc.,Vancouver,Colombie-Britannique,Canada,Imaginarium of Dr. Parnassus (The),Anglais,Science-fiction/Film fantastique/Conte,2019-02-20,1704349.00,1000000.00,Avance,Programme d'aide à la production,Contrat amendé signé le 06-MAR-08
2018-2019,P4,A Media Inc.,Montréal,Québec,Canada,Morissette,Français,Drame,2019-03-22,0.00,15000.00,Avance,Programme d'aide au développement,Contrat amendé signé le 29-JUN-16
2018-2019,P4,PCF Ballerina Le film Inc.,Montréal,Québec,Canada,Ballerina,Anglais,Drame,2019-02-19,1224445.00,1250000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 23-12-2013"
2018-2019,P4,9012-6640 Québec inc. (K-Films Amérique),Montréal,Québec,Canada,Bruit des arbres (Le),Français,Drame,2019-02-19,30000.00,60000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 25-11-2014"
2018-2019,P4,Weirdos The Film Inc.,Halifax,Nouvelle-Écosse,Canada,WEIRDOS,Anglais,Drame,2019-01-23,699136.00,450000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 15-09-2015"
2018-2019,P4,YXY Productions Inc.,Burnaby,Colombie-Britannique,Canada,No Men Beyond This Point,Anglais,Comédie,2019-02-19,16687.00,22500.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 12-01-2016"
2018-2019,P4,9220-5368 Québec Inc.,Ste-Famille I.O.,Québec,Canada,Chute de Sparte (La),Français,Drame,2019-02-20,1030000.00,1000000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 15-09-2016"
2018-2019,P2,TA3 Inc.,Montréal,Québec,Canada,Trip à trois (Le),Français,Comédie,2018-08-07,1335595.00,1350000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 14-03-2016"
2018-2019,P3,Productions Miraculum Inc.,Montréal,Québec,Canada,Nous sommes les autres,Français,Drame,2018-10-31,1200000.00,1150000.00,Avance,Programme d'aide à la production,"Contrat amendé, signé le 11-10-2016"
2018-2019,P3,Our House Films Canada Inc.,Toronto,Ontario,Canada,Our House,Anglais,Drame,2018-11-28,2136034.00,2300000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 10-06-2016"
2018-2019,P1,A71 Entertainment Inc.,Toronto,Ontario,Canada,Darken,Anglais,Science-fiction/Film fantastique/Conte,2018-04-25,123750.00,40000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 21-11-2016"
2018-2019,P1,Mongrel Media Inc.,Toronto,Ontario,Canada,Other Half (The),Anglais,Drame,2018-04-06,25586.00,33413.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 30-11-2016"
2018-2019,P1,Mongrel Media Inc.,Toronto,Ontario,Canada,Window Horses,Anglais,Drame,2018-04-06,59320.00,143625.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 01-03-2017"
2018-2019,P1,Loud Baby Productions Inc.,Halifax,Nouvelle-Écosse,Canada,Perfume War,Anglais,Documentaire,2018-05-17,35805.00,41395.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 30-03-2017"
2018-2019,P1,2513073 Ontario Inc.,Toronto,Ontario,Canada,Sharkwater:Extinction,Anglais,Documentaire,2018-05-17,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2018-2019,P2,9379-1176 Québec Inc.,Saint-Ours,Québec,Canada,Une manière de vivre,Français,Drame,2018-08-30,1150000.00,1150000.00,Investissement,Programme d'aide à la production,
2018-2019,P2,SPF (Songs) Productions Inc.,Toronto,Ontario,Canada,The Song of Names,Anglais,Drame,2018-09-06,9000000.00,7000000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 09-03-2018"
2018-2019,P1,Films Séville Inc. (Les),Montréal,Québec,Canada,Initiative iTunes - Canada 150 (Films Séville),,0,2018-06-22,187591.00,187591.00,Contribution,Programme de promotion,"Contrat amendé, signé le 22-12-2017"
2018-2019,P2,Funfilm Distribution Inc.,Montréal,Québec,Canada,Initiative iTunes - Canada 150 ( Funfilms Distribution),,0,2018-07-10,1285.00,1778.00,Contribution,Programme de promotion,"Contrat amendé, signé le 17-05-2017"
2018-2019,P3,Groupe TVA inc. (Faisant affaires sous le nom de TVA Films),Montréal,Québec,Canada,Initiative iTunes - Canada 150 (TVA films),,0,2018-11-15,5285.00,6500.00,Contribution,Programme de promotion,"Contrat amendé, signé le 13-07-2017"
2018-2019,P3,REMSTAR FILMS INC.,Montréal,Québec,Canada,Initiative iTunes - Canada 150 (Remstar films),,0,2018-11-30,5902.00,5733.00,Contribution,Programme de promotion,"Contrat amendé, signé le 13-06-2017"
2018-2019,P4,Christal Films Productions Inc.,Montréal,Québec,Canada,Hana's Suitcase,Anglais,Drame historique,2019-01-24,89245.00,200000.00,Avance,Programme d'aide à la production,"Contrat amendé, signé le 30-03-2017"
2018-2019,P4,Mongrel Media Inc.,Toronto,Ontario,Canada,Initiative iTunes - Canada 150 (Mongrel Media Inc.),,0,2019-03-25,12846.00,10608.00,Contribution,Programme de promotion,"Contrat amendé, signé le 15-06-2017"
2018-2019,P3,A71 Entertainment Inc.,Toronto,Ontario,Canada,An American Dream: The Education of William Bowman,Anglais,0,2018-11-19,54774.00,76000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 05-05-2017"
2018-2019,P3,1961846 Ontario Inc.,Toronto,Ontario,Canada,Nobody Famous,Anglais,Comédie,2018-11-06,45957.00,50000.00,Contribution,Programme d'aide à la production,"Contrat amendé, signé le 22-08-2017"
2018-2019,P2,Sea Green Pictures Inc.,Halifax,Nouvelle-Écosse,Canada,Spinster,Anglais,Drame,2018-09-11,100000.00,0.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 28-02-2018"
2018-2019,P4,Evolution Agency Productions Inc.,Toronto,Ontario,Canada,Sugar Daddy,Anglais,Drame,2019-02-11,350000.00,350000.00,Investissement,Programme d'aide à la production,
2018-2019,P3,Productions du Rapide-Blanc Inc. (Les),Montréal,Québec,Canada,Québec My Country Mon Pays,Français,Documentaire,2018-10-17,11159.00,14000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 04-08-2017"
2018-2019,P1,Back 40 Pictures Inc.,St-Catharines,Ontario,Canada,Rabid,Anglais,Horreur/Suspense,2018-05-04,1800000.00,1800000.00,Investissement,Programme d'aide à la production,
2018-2019,P2,Back 40 Pictures Inc.,St-Catharines,Ontario,Canada,Rabid,Anglais,Horreur/Suspense,2018-08-21,2100000.00,1800000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 04-05-2018"
2018-2019,P3,Téléfiction Distribution et Marketing Inc.,Montréal,Québec,Canada,Rois mongols (Les),Français,Drame,2018-10-09,308294.00,317613.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 11-09-2017"
2018-2019,P3,Sienna Films Productions XVII Inc.,Toronto,Ontario,Canada,Sweetness In The Belly,Anglais,Drame,2018-11-27,1247583.00,1247583.00,Investissement,Programme d'aide à la production,
2018-2019,P3,Films Séville Inc. (Les),Montréal,Québec,Canada,Un sac de billes,Français,0,2018-11-28,82891.00,88416.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 23-03-2018"
2018-2019,P1,Canadian Film in the Schools,Toronto,Ontario,Canada,Canadian Film in the Schools  + National Canadian Film Day,,0,2018-04-03,304113.00,154113.00,Contribution,Programme de promotion,"Contrat amendé, signé le 07-07-2017"
2018-2019,P4,Sienna Films Productions XVIII INC.,Toronto,Ontario,Canada,Happy Place,Anglais,Drame,2019-03-27,1200000.00,1200000.00,Investissement,Programme d'aide à la production,
2018-2019,P2,Indian Horse Productions (BC) Inc.,Vancouver,Colombie-Britannique,Canada,Indian Horse,Anglais,Drame,2018-08-09,117000.00,50000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 03-10-2017"
2018-2019,P3,Search Engine Films Inc.,Toronto,Ontario,Canada,Sundowners,Anglais,0,2018-10-12,48969.00,56666.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 19-12-2017"
2018-2019,P1,Thunderbird Entertainment Inc.,Vancouver,Colombie-Britannique,Canada,Entanglement,Anglais,0,2018-04-26,44962.00,44962.00,Avance,Programme de mise en marché,
2018-2019,P2,Film Mytho Inc.,Montréal,Québec,Canada,MENTEUR (A.K.A MYTHO),Français,Comédie,2018-08-03,2700000.00,2700000.00,Avance,Programme d'aide à la production,
2018-2019,P2,L'OEIL VIF (Faisant affaire sous le nom Les Films du 3 mars),Montréal,Québec,Canada,LA RÉSURRECTION D'HASSAN,Français,Documentaire,2018-09-26,19900.00,20000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 07-11-2017"
2018-2019,P4,Eye Steel Film Distribution inc.,Montréal,Québec,Canada,Let There Be Light,Anglais,0,2019-02-05,31334.00,31407.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 07-12-2017"
2018-2019,P2,Hispaniola Productions Inc.,Toronto,Ontario,Canada,Hispaniola,Anglais,Documentaire,2018-07-30,125000.00,125000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P1,9286-4883 Québec Inc. (faisant affaire sous le nom de L'embuscade Films),Montréal,Québec,Canada,Archipel,Français,Documentaire,2018-05-30,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2018-2019,P4,Rhombus Possessor Inc.,Toronto,Ontario,Canada,Possessor,Anglais,Drame,2019-03-20,0.00,150000.00,Avance,Programme d'aide à la production,"Contrat amendé, signé le 06-10-2017"
2018-2019,P4,Rhombus Possessor Inc.,Toronto,Ontario,Canada,Possessor,Anglais,Drame,2019-03-20,150000.00,0.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 06-10-2017"
2018-2019,P3,Funfilm Distribution Inc.,Montréal,Québec,Canada,Les dépossédés,Français,0,2018-10-12,18267.00,20000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 09-01-2018"
2018-2019,P2,Productions Triangle inc.,Aston-Jonction,Québec,Canada,Prisons sans barreaux,Français,Documentaire,2018-09-17,125000.00,125000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P2,9174-5018 Québec inc.,Montréal,Québec,Canada,Le Petit Tom,Français,Documentaire,2018-09-17,125000.00,125000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P1,9249-9847 Québec inc.,Montréal,Québec,Canada,Ziva Postec.  La monteuse derrière le film Shoah,Français,Documentaire,2018-05-18,40000.00,40000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P3,9212-5913 Québec inc.,Montréal,Québec,Canada,Misogynie 2.0,Français,Documentaire,2018-10-25,125000.00,125000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P2,CCDE Productions Inc.,Toronto,Ontario,Canada,The Corporate Coup d'Etat,Anglais,Documentaire,2018-08-30,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2018-2019,P4,9231-8419 Québec Inc. dba Productions Parabola,Montréal,Québec,Canada,Billy,Anglais,Documentaire,2019-03-14,125000.00,125000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P2,Pursuing Giraffe Adventures Inc.,Toronto,Ontario,Canada,The Woman Who Loves Giraffes (aka Anne of Africa),Anglais,Documentaire,2018-07-18,74000.00,74000.00,Avance,Programme pour le long métrage documentaire,
2018-2019,P1,Macumba Média II Inc,Montréal,Québec,Canada,En attendant Raif -,Français,Documentaire,2018-05-30,65000.00,65000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P2,Grand Prairie Film Inc.,Calgary,Alberta,Canada,Grand Prairie,Anglais,Documentaire,2018-08-02,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2018-2019,P3,Illusions of Control Film Inc.,Vancouver,Colombie-Britannique,Canada,Illusions of Control,Anglais,Documentaire,2018-11-19,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2018-2019,P1,Studio Via Le Monde Inc. (Le),Dorval,Québec,Canada,Mon cri saura parler,Français,Documentaire,2018-05-04,50000.00,50000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P2,TINAM Inc.,Toronto,Ontario,Canada,This is Not a Movie,Anglais,Documentaire,2018-07-25,125000.00,125000.00,Investissement,Programme pour le long métrage documentaire,
2018-2019,P4,Insight Lightfoot Ltd.,Toronto,Ontario,Canada,Gordon Lightfoot: If You Could Read My Mind,Anglais,Documentaire,2019-02-28,125000.00,125000.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P4,Charlotte Productions Inc.,Toronto,Ontario,Canada,CHARLOTTE,Anglais,Drame historique,2019-01-09,2300000.00,2300000.00,Investissement,Programme d'aide à la production,
2018-2019,P1,A Rude Film Inc.,Halifax,Nouvelle-Écosse,Canada,Assholes: A Theory,Anglais,Documentaire,2018-05-22,66783.00,66783.00,Contribution,Programme pour le long métrage documentaire,
2018-2019,P3,Les Films Mafia inc.,Montréal,Québec,Canada,Mafia Inc.,Français,Mystère/Crime/Police,2018-11-21,3024000.00,3024000.00,Avance,Programme d'aide à la production,
2018-2019,P2,9187-1608 Québec inc,Longueuil,Québec,Canada,La Beauté du monde,Français,Comédie romantique,2018-08-03,1100000.00,1100000.00,Investissement,Programme d'aide à la production,
2018-2019,P3,Axia Films inc.,Montréal,Québec,Canada,Y'EST OU LE PARADIS,Français,Drame,2018-11-16,36260.00,40000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 02-02-2018"
2018-2019,P3,Films Séville Inc. (Les),Montréal,Québec,Canada,Double Peine,Français,0,2018-11-26,32289.00,45305.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 23-03-2018"
2018-2019,P4,9321-3023 Québec Inc.,Montréal,Québec,Canada,Vinland,Français,Drame historique,2019-03-28,1400000.00,1400000.00,Avance,Programme d'aide à la production,
2018-2019,P2,Rire ou pleurer? Inc.,Montréal,Québec,Canada,Le rire,Français,Drame,2018-08-28,950000.00,950000.00,Avance,Programme d'aide à la production,
2018-2019,P3,"Films Christal, s.e.c.(Les), agissant par l'intermédiaire de son commandité, Les Films Christal Inc",Montréal,Québec,Canada,Nous sommes les autres,Français,Drame,2018-11-08,63012.00,73952.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 23-03-2018"
2018-2019,P2,Les Films Insiders inc.,Montréal,Québec,Canada,IL PLEUVAIT DES OISEAUX,Français,Drame,2018-08-01,1200000.00,1200000.00,Investissement,Programme d'aide à la production,
2018-2019,P3,Level Film Inc.,Toronto,Ontario,Canada,The Death (and Life) of Carl Naardlinger,Anglais,0,2018-12-13,24589.00,25161.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 13-03-2018"
2018-2019,P3,D Films Corporation,Toronto,Ontario,Canada,Clara,Anglais,0,2018-11-21,318188.00,165656.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 12-02-2018"
2018-2019,P3,Groupe TVA inc. (Faisant affaires sous le nom de TVA Films),Montréal,Québec,Canada,Someone Else's Wedding,Anglais,Comédie romantique,2018-10-19,25978.00,25978.00,Avance,Programme de mise en marché,
2018-2019,P3,Entract Films Inc.,Montréal,Québec,Canada,LES SCÈNES FORTUITES,Français,Comédie,2018-11-14,32935.00,37575.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 07-02-2018"
2018-2019,P1,Thunderbird Entertainment Inc.,Vancouver,Colombie-Britannique,Canada,Never Steady Never Still,Anglais,0,2018-06-27,29543.00,29543.00,Avance,Programme de mise en marché,
2018-2019,P1,A71 Entertainment Inc.,Toronto,Ontario,Canada,Another Wolfcop,Anglais,Horreur/Suspense,2018-04-26,67683.00,67683.00,Avance,Programme de mise en marché,
2018-2019,P4,Funfilm Distribution Inc.,Montréal,Québec,Canada,Venus,Anglais,0,2019-02-06,36250.00,45000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 20-03-2018"
2018-2019,P2,Film Fabuleuses Inc.,Montréal,Québec,Canada,Fabuleuses,Français,Comédie,2018-07-31,1000000.00,1000000.00,Investissement,Programme d'aide à la production,
2018-2019,P1,Raven Banner Releasing Inc.,Toronto,Ontario,Canada,Swinger's Weekend,Anglais,0,2018-04-26,40000.00,40000.00,Avance,Programme de mise en marché,
2018-2019,P4,Félix et le trésor de Morgäa inc.,Saint-Augustin-de-Desmaures,Québec,Canada,Félix et le trésor de Morgäa,Français,Action/Aventure,2019-02-08,1100000.00,1100000.00,Avance,Programme d'aide à la production,
2018-2019,P1,Run This Town Film Inc.,Toronto,Ontario,Canada,Run This Town,Anglais,Drame,2018-04-19,1200000.00,1200000.00,Investissement,Programme d'aide à la production,
2018-2019,P4,Run This Town Film Inc.,Toronto,Ontario,Canada,Run This Town,Anglais,Drame,2019-02-25,1275000.00,1200000.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 19-04-2018"
2018-2019,P1,Maison 4:3 Inc.,Montréal,Québec,Canada,Terre vue du coeur (La),Français,0,2018-06-14,99210.00,65000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 21-03-2018"
2018-2019,P1,Elevation Pictures Corp.,Toronto,Ontario,Canada,Hollow In The Land,Anglais,Action/Aventure,2018-05-22,94333.00,94333.00,Avance,Programme de mise en marché,
2018-2019,P2,Elevation Pictures Corp.,Toronto,Ontario,Canada,Hollow In The Land,Anglais,Action/Aventure,2018-08-28,85607.00,94333.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 22-05-2018"
2018-2019,P2,Films Vision 4 Inc.,Montréal,Québec,Canada,Jouliks,Français,Drame,2018-07-24,1250000.00,1250000.00,Investissement,Programme d'aide à la production,
2018-2019,P3,9183-5942 Québec inc.,Montréal,Québec,Canada,Pompéi,Français,Drame,2018-10-25,270000.00,270000.00,Investissement,Programme d'aide à la production,
2018-2019,P4,Level Film Inc.,Toronto,Ontario,Canada,Another Kind of Wedding,Anglais,0,2019-01-28,25508.00,30000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 27-03-2018"
2018-2019,P1,Level Film Inc.,Toronto,Ontario,Canada,Juggernaut,Anglais,0,2018-04-17,30000.00,30000.00,Avance,Programme de mise en marché,
2018-2019,P3,Level Film Inc.,Toronto,Ontario,Canada,Juggernaut,Anglais,0,2018-11-26,26789.00,30000.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 17-04-2018"
2018-2019,P3,Rhombus On The Lake Inc.,Toronto,Ontario,Canada,Clifton Hill,Anglais,Mystère/Crime/Police,2018-10-12,2695000.00,2695000.00,Investissement,Programme d'aide à la production,
2018-2019,P1,Mary Goes Round Movie Inc.,Toronto,Ontario,Canada,Mary goes Round,Anglais,0,2018-05-18,26441.00,26441.00,Avance,Programme de mise en marché,
2018-2019,P4,Films Séville Inc. (Les),Montréal,Québec,Canada,POUR VIVRE ICI,Français,Drame,2019-02-04,113566.00,127950.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 23-03-2018"
2018-2019,P1,9164-6828 Québec Inc. (d/b/a Productions Loaded Pictures),Montréal,Québec,Canada,ABU,Anglais,0,2018-06-14,35000.00,35000.00,Avance,Programme de mise en marché,
2018-2019,P4,"Samuel Goldwyn Films, LLC",Culver City,Californie,États-Unis,Allure,Anglais,Drame,2019-03-25,29500.00,29500.00,Contribution,Programme d'aide à l'exportation,
2018-2019,P2,Films Baliverna Inc. (les),Laval,Québec,Canada,Burn Out ou La Servitude Volontaire,Français,Drame,2018-07-27,30000.00,30000.00,Avance,Programme de mise en marché,
2018-2019,P1,Raven Banner Releasing Inc.,Toronto,Ontario,Canada,North Mountain,Anglais,0,2018-05-23,30000.00,30000.00,Avance,Programme de mise en marché,
2018-2019,P1,Sinking Ship (Dino Dana Movie) Productions Inc.,Toronto,Ontario,Canada,Dino Dana: The Movie,Anglais,Drame,2018-06-27,850000.00,850000.00,Investissement,Programme d'aide à la production,
2018-2019,P2,AW Canada Films Inc.,Toronto,Ontario,Canada,American Woman,Anglais,Drame,2018-07-31,2300000.00,2300000.00,Investissement,Programme d'aide à la production,
2018-2019,P3,Raven Banner Releasing Inc.,Toronto,Ontario,Canada,The Go-Getters,Anglais,Comédie,2018-12-13,15015.00,15015.00,Avance,Programme de mise en marché,
2018-2019,P3,Baldy Film  Inc.,Toronto,Ontario,Canada,Baldy,Anglais,Drame,2018-11-19,450000.00,450000.00,Contribution,Programme d'aide à la production,
2018-2019,P4,PCF Bravest Le Film  Inc.,Montréal,Québec,Canada,Fireheart - (aka The Bravest),Anglais,Comédie,2019-03-27,4000000.00,4000000.00,Investissement,Programme d'aide à la production,
2018-2019,P1,Sienna Films Inc.,Toronto,Ontario,Canada,Sweetness In The Belly,Anglais,Drame,2018-05-02,324884.00,324884.00,Avance,Programme d'aide à la production,
2018-2019,P4,Sienna Films Inc.,Toronto,Ontario,Canada,Sweetness In The Belly,Anglais,Drame,2019-01-29,0.00,324884.00,Avance,Programme d'aide à la production,"Contrat amendé, signé le 02-05-2018"
2018-2019,P4,Sienna Films Inc.,Toronto,Ontario,Canada,Sweetness In The Belly,Anglais,Drame,2019-01-29,324884.00,0.00,Investissement,Programme d'aide à la production,"Contrat amendé, signé le 02-05-2018"
2018-2019,P1,James Vs Productions Inc.,Toronto,Ontario,Canada,James vs. His Future Self,Anglais,Comédie,2018-05-23,450000.00,450000.00,Investissement,Programme d'aide à la production,
2018-2019,P4,9232-2437 Québec Inc.,Montréal,Québec,Canada,My Salinger Year,Anglais,Drame,2019-03-28,3150000.00,3150000.00,Investissement,Programme d'aide à la production,
2018-2019,P4,9324-3160 Québec Inc.,Montréal,Québec,Canada,Les barbares de la Malbaie,Français,Drame,2019-03-18,500000.00,500000.00,Contribution,Programme d'aide à la production,
2018-2019,P4,Les Films 1976 Inc.,Montréal,Québec,Canada,Saint-Narcisse,Anglais,Comédie romantique,2019-03-08,300000.00,300000.00,Contribution,Programme d'aide à la production,
2018-2019,P2,"Apapacho, le film Inc.",Montréal,Québec,Canada,"APAPACHO, une caresse pour l'âme",Français,Drame,2018-09-17,445000.00,445000.00,Contribution,Programme d'aide à la production,
2018-2019,P2,Les Films Mood Indigo inc.,Montréal,Québec,Canada,Rosalie,Français,Comédie,2018-09-10,125000.00,125000.00,Contribution,Programme d'aide à la production,
2018-2019,P2,Entangled Film Inc.,Sudbury,Ontario,Canada,Entangled,Anglais,Science-fiction/Film fantastique/Conte,2018-08-30,350000.00,350000.00,Investissement,Programme d'aide à la production,
2018-2019,P2,"""	 Video-Ville Showtime Inc.""",Montreal,Québec,Canada,Identités,Français,0,2018-09-18,150000.00,150000.00,Avance,Programme de mise en marché,
2018-2019,P1,Iylond Entertainment Inc.,Okotoks,Alberta,Canada,Ice Blue,Anglais,Horreur/Suspense,2018-05-29,20686.00,20686.00,Avance,Programme de mise en marché,
2018-2019,P1,Blac Op Films Incorporated,Dartmouth,Nouvelle-Écosse,Canada,Black Cop,Anglais,Drame,2018-05-18,1500.00,1500.00,Contribution,Programme de mise en marché à l'international,
2018-2019,P1,Aquatinter Films Ltd.,Vancouver,Colombie-Britannique,Canada,Black Kite,Anglais,Drame,2018-04-17,1500.00,1500.00,Contribution,Programme de mise en marché à l'international,
2018-2019,P1,Colonelle films inc.,Montréal,Québec,Canada,The Other Rio (L'autre Rio),Français,Documentaire,2018-05-25,2500.00,2500.00,Contribution,Programme de mise en marché à l'international,
2018-2019,P2,Level Film Inc.,Toronto,Ontario,Canada,Prodigals,Anglais,0,2018-09-13,22500.00,22500.00,Avance,Programme de mise en marché,
2018-2019,P4,Vase Films Inc.,West Pennant,Nouvelle-Écosse,Canada,Tin Can,Anglais,Science-fiction/Film fantastique/Conte,2019-01-31,302897.00,302897.00,Contribution,Programme d'aide à la production,
2018-2019,P2,"Films Christal, s.e.c.(Les), agissant par l'intermédiaire de son commandité, Les Films Christal Inc",Montréal,Québec,Canada,Allure,Anglais,0,2018-08-27,97012.00,97012.00,Avance,Programme de mise en marché,
2018-2019,P4,"Films Christal, s.e.c.(Les), agissant par l'intermédiaire de son commandité, Les Films Christal Inc",Montréal,Québec,Canada,Allure,Anglais,0,2019-02-19,93268.00,97012.00,Avance,Programme de mise en marché,"Contrat amendé, signé le 27-08-2018"
2018-2019,P2,Level Film Inc.,Toronto,Ontario,Canada,22 Chaser,Anglais,0,2018-08-23,19387.00,19387.00,Avance,Programme de mise en marché,
2018-2019,P2,A71 Entertainment Inc.,Toronto,Ontario,Canada,"Tulipani: Love, Honour and a Bicycle",Anglais,0,2018-08-16,107538.00,107538.00,Avance,Programme de mise en marché,
2018-2019,P1,2362231 Ontario Inc.,Toronto,Ontario,Canada,Hero,Anglais,0,2018-06-18,50000.00,50000.00,Avance,Programme de mise en marché,
2018-2019,P2,Elevation Pictures Corp.,Toronto,Ontario,Canada,Long Time Running,Anglais,Documentaire,2018-08-23,165761.00,165761.00,Avance,Programme de mise en marché,
2018-2019,P3,"Cold Season Films, Inc.",PETTY HARBOUR,Terre-Neuve/Labrador,Canada,A Fire In The Cold Season,Anglais,Drame,2018-10-26,238000.00,238000.00,Investissement,Programme d'aide à la production,
